,team,player,position,to,hall_of_fame,all_pro,pro_bowl,starter,carAV,drAV,games,pass_comp,pass_att,pass_yards,pass_tds,pass_int,rush_att,rush_yards,rush_tds,receptions,rec_yards,rec_tds,interceptions,sacks,tackles
8636,GNB,Tim Watson,DB,1997.0,False,0,0,0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8637,IND,Carlos Etheredge,TE,1994.0,False,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0
8638,HOU,Chuck Bradley,OT,1993.0,False,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8640,WAS,Frank Wycheck,TE,2003.0,False,0,3,9,43.0,1.0,155.0,5.0,6.0,148.0,2.0,0.0,4.0,5.0,1.0,505.0,5126.0,28.0,0.0,0.0,0.0
8641,SDG,Eric Castle,DB,1996.0,False,0,0,0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8642,PIT,Willie Williams,DB,2005.0,False,0,0,8,51.0,19.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,483.0
8643,PHI,Derrick Oden,LB,1995.0,False,0,0,0,3.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8644,MIA,Robert O'Neal,DB,1994.0,False,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8645,NOR,Ronnie Dixon,DT,1998.0,False,0,0,1,9.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,53.0
8646,SFO,Chris Dalman,C,1999.0,False,0,0,4,34.0,34.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
8647,BUF,Corbin Lacina,G,2003.0,False,0,0,6,35.0,9.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8648,DAL,Barry Minter,LB,2001.0,False,0,0,3,32.0,20.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,210.0
8649,DEN,Clarence Williams,TE,1993.0,False,0,0,0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0
8650,SEA,Michael McCrary,DE,2002.0,False,0,2,6,54.0,7.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71.0,231.0
8653,CHI,Keshon Johnson,DB,1995.0,False,0,0,0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8654,DET,Ty Hallock,RB,2000.0,False,0,0,3,6.0,2.0,86.0,0.0,0.0,0.0,0.0,0.0,17.0,62.0,1.0,65.0,487.0,3.0,0.0,0.0,0.0
8655,CIN,Lance Gunn,DB,1993.0,False,0,0,1,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,111.0
8656,TAM,Tyree Davis,WR,1997.0,False,0,0,0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,0.0,0.0,0.0,0.0
8658,ATL,Darnell Walker,DB,2000.0,False,0,0,6,31.0,13.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,368.0
8659,RAM,Brad Fichtel,C,1994.0,False,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8660,CLE,Travis Hill,LB,1995.0,False,0,0,0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8661,RAI,Greg Biekert,LB,2003.0,False,0,0,10,59.0,52.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,579.0
8662,DEN,Tony Kimbrough,WR,1994.0,False,0,0,0,1.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,99.0,0.0,0.0,0.0,0.0
8663,GNB,Bob Kuberski,DT,1999.0,False,0,0,0,5.0,5.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
8665,PIT,Jeff Zgonina,DT,2009.0,False,0,0,4,40.0,1.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,139.0
8666,KAN,Danan Hughes,WR,1998.0,False,0,0,0,5.0,5.0,85.0,2.0,2.0,55.0,0.0,0.0,1.0,5.0,0.0,46.0,425.0,4.0,0.0,0.0,0.0
8667,HOU,Patrick Robinson,WR,1994.0,False,0,0,0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,9.0,77.0,0.0,0.0,0.0,0.0
8668,SDG,Doug Miller,LB,1994.0,False,0,0,0,2.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8669,PIT,Craig Keith,TE,1995.0,False,0,0,0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0
8670,PHI,Joey Mickey,TE,1993.0,False,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8671,MIA,David Merritt,LB,1995.0,False,0,0,0,3.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8672,MIN,Gino Torretta,QB,1996.0,False,0,0,0,0.0,0.0,2.0,5.0,16.0,41.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8673,NOR,Othello Henderson,DB,1994.0,False,0,0,0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8674,SFO,Troy Wilson,DE,2001.0,False,0,0,0,7.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
8676,DAL,Brock Marion,DB,2004.0,False,0,3,10,58.0,14.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,601.0
8677,SEA,Jeff Blackshear,G,2002.0,False,0,0,6,38.0,8.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8678,NWE,Troy Brown,WR,2007.0,False,0,1,5,55.0,55.0,192.0,0.0,1.0,0.0,0.0,0.0,29.0,178.0,0.0,557.0,6366.0,31.0,3.0,0.0,0.0
8679,PHO,Chad Brown,DE,1995.0,False,0,0,0,7.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8681,DET,Kevin Miniefield,DB,1997.0,False,0,0,0,5.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
8683,DAL,Dave Thomas,DB,2001.0,False,0,0,3,22.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,219.0
8684,SEA,Antonio Edwards,DE,1999.0,False,0,0,1,18.0,13.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,63.0
8685,ATL,Shannon Baker,WR,1994.0,False,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0
8687,NYG,Jessie Armstead,LB,2003.0,False,1,5,8,79.0,69.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,40.0,529.0
